Date,Open,High,Low,Close,Adj_Close,Volume
2022-07-01,9.03,9.25,8.91,9.19,9.19,9.7265e6
2022-07-04,9.15,9.32,8.95,9.02,9.02,3.6151e6
2022-07-05,8.91,8.92,8.47,8.74,8.74,2.77111e7
2022-07-06,8.65,8.89,8.23,8.32,8.32,1.93415e7
2022-07-07,8.5,8.64,8.26,8.3,8.3,2.41149e7
2022-07-08,8.28,8.85,8.27,8.48,8.48,2.98108e7
2022-07-11,8.29,8.29,7.48,7.48,7.48,2.09953e7
2022-07-12,7.55,7.91,7.42,7.8,7.8,1.99886e7
2022-07-13,7.7,8.02,7.6,7.87,7.87,1.14392e7
2022-07-14,7.78,8.07,7.68,7.83,7.83,1.27352e7
2022-07-15,7.86,8.09,7.6,8.03,8.03,1.02314e7
2022-07-18,8.12,8.47,7.91,7.96,7.96,1.1003e7
2022-07-19,8.01,8.47,8.01,8.43,8.43,1.35735e7
2022-07-20,8.37,8.55,8.23,8.35,8.35,9.5905e6
2022-07-21,8.35,8.42,8.11,8.2,8.2,9.8355e6
2022-07-22,8.23,8.3,7.83,7.97,7.97,1.30362e7
2022-07-25,8.0,8.13,7.81,8.1,8.1,7.6231e6
2022-07-26,8.04,8.21,7.89,8.14,8.14,7.2902e6
2022-07-27,8.23,9.05,8.23,9.03,9.03,1.2644e7
2022-07-28,8.92,8.94,8.48,8.61,8.61,1.13845e7
2022-07-29,8.6,8.72,8.34,8.36,8.36,7.2344e6
2022-08-01,8.36,8.61,8.13,8.54,8.54,6.4913e6
2022-08-02,8.46,8.57,8.32,8.37,8.37,5.703e6
2022-08-03,8.46,8.81,8.37,8.71,8.71,9.6563e6
2022-08-04,8.76,10.0,8.75,10.0,10.0,1.16494e7
2022-08-05,9.82,10.11,9.57,9.98,9.98,8.509e6
2022-08-08,10.2,10.7,10.03,10.62,10.62,7.7002e6
2022-08-09,10.7,10.73,9.82,9.9,9.9,7.1008e6
2022-08-10,10.2,10.8,10.11,10.58,10.58,9.7343e6
2022-08-11,10.69,10.87,10.21,10.32,10.32,9.742e6
2022-08-12,10.39,11.05,10.39,10.97,10.97,8.6113e6
2022-08-15,10.73,11.5,10.64,11.5,11.5,8.5992e6
2022-08-16,11.5,11.69,10.99,11.3,11.3,6.6523e6
2022-08-17,11.18,11.64,11.08,11.44,11.44,9.6489e6
2022-08-18,11.55,11.64,11.02,11.24,11.24,5.3091e6
2022-08-19,11.01,11.16,10.35,10.42,10.42,6.544e6
2022-08-22,10.27,10.3,9.94,10.24,10.24,6.3092e6
2022-08-23,10.28,10.94,10.24,10.94,10.94,6.2823e6
2022-08-24,10.94,11.6,10.85,11.3,11.3,7.5126e6
2022-08-25,11.41,12.15,11.31,11.92,11.92,1.04382e7
2022-08-26,12.01,12.2,11.35,11.48,11.48,1.22002e7
2022-08-29,11.29,11.6,11.01,11.09,11.09,1.09907e7
2022-08-30,11.44,11.51,10.24,10.4,10.4,1.51889e7
2022-08-31,10.48,10.68,10.03,10.1,10.1,1.23313e7
2022-09-01,10.05,10.39,9.68,10.26,10.26,1.21322e7
2022-09-02,10.46,10.5,9.92,9.99,9.99,1.1938e7
2022-09-05,10.09,10.12,9.88,10.03,10.03,4.6712e6
2022-09-06,10.05,10.14,9.39,9.52,9.52,1.07477e7
